Player,SnV Freq,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%.1,Drop: Freq,RallyAgg,ReturnAgg
AlexanderZverev,2.9,11.4,67.5,10.8,14.6,16.1,8.3,24.0,0.6,-45.4,-9.4
AndreyRublev,0.8,6.2,65.5,19.1,23.6,18.4,7.3,23.0,0.1,-11.7,-7.3
CarlosAlcaraz,6.5,13.1,75.7,15.9,22.9,13.1,8.3,23.8,2.7,4.1,8.1
CasperRuud,1.2,8.9,69.9,14.6,19.6,12.4,6.2,26.3,0.9,-57.8,-43.4
DaniilMedvedev,1.4,9.1,68.0,11.4,16.7,12.1,7.0,21.3,1.1,-82.2,-47.5
HolgerRune,3.3,11.9,70.4,16.5,21.0,11.8,10.0,30.4,2.1,4.6,13.1
HubertHurkacz,2.6,12.4,68.9,13.3,17.5,12.3,6.8,18.8,1.0,-18.7,17.9
JannikSinner,1.8,10.2,73.6,12.8,19.6,12.5,6.2,23.5,1.0,-27.4,-14.9
NovakDjokovic,4.8,10.5,74.4,14.2,17.9,16.4,8.0,18.4,1.2,-50.3,-23.2
StefanosTsitsipas,4.6,12.6,71.8,16.3,23.3,13.1,6.5,23.1,1.1,-19.8,-0.8
