Player,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
AlexanderZverev,4.4,3.9,4.8,54.2,53.6,47.1,50.4,51.2,9.8,6.8,5.1,3.7,3.2
AndreyRublev,3.5,3.4,3.6,53.0,58.0,59.1,57.5,52.3,6.3,23.1,23.9,2.8,3.8
CarlosAlcaraz,4.3,4.2,4.3,53.1,58.0,53.8,57.4,49.7,12.1,15.4,12.5,3.6,2.7
CasperRuud,4.5,4.7,4.3,53.2,55.5,51.1,54.0,55.8,11.4,13.4,9.7,1.7,2.8
DaniilMedvedev,6.8,6.3,7.2,55.6,70.4,43.8,65.4,41.4,10.2,0.5,0.4,11.5,6.3
HolgerRune,3.9,4.4,3.2,42.2,49.4,46.9,32.6,51.1,18.9,6.4,1.5,1.1,-1.8
HubertHurkacz,4.4,3.8,5.0,57.3,45.5,44.5,43.3,51.0,13.8,-0.4,0.5,-2.8,-2.9
JannikSinner,4.2,4.2,4.2,54.0,59.8,58.7,58.2,49.2,5.4,15.1,11.7,5.3,5.0
NovakDjokovic,4.8,4.6,5.0,54.5,58.1,56.8,59.0,49.2,14.7,13.0,9.1,7.7,6.9
StefanosTsitsipas,4.3,4.0,4.7,54.2,53.5,50.5,58.7,54.3,14.6,16.2,12.7,0.3,1.0
