Player,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
AlexanderZverev,37.9,28.3,1.5,21.8,15.4,28.1,25.1,1.2,17.9,15.2,8.0,5.6,1.1,18.5,18.2
AndreyRublev,43.8,23.8,2.1,28.3,14.5,36.2,21.0,1.9,26.6,14.5,13.6,4.4,1.8,22.6,13.4
CarlosAlcaraz,38.8,29.1,1.5,22.4,15.6,36.3,26.8,1.5,22.3,15.3,13.2,5.1,0.8,15.4,19.4
CasperRuud,26.1,21.8,1.3,17.7,14.3,22.3,20.1,1.2,16.7,14.3,12.4,3.3,1.0,19.6,21.5
DaniilMedvedev,17.0,18.0,0.9,14.9,15.8,17.0,14.0,1.2,15.7,13.0,5.6,4.6,0.5,18.4,40.4
HolgerRune,33.3,34.4,0.9,16.2,17.4,29.0,31.1,0.9,15.6,17.4,8.4,5.2,1.7,22.2,14.7
HubertHurkacz,33.8,33.5,1.2,19.9,18.9,22.1,32.4,0.8,14.8,20.6,10.9,3.9,1.0,14.6,16.5
JannikSinner,29.5,23.2,1.5,18.4,14.1,24.8,20.8,1.4,17.0,14.0,12.2,4.3,0.8,14.5,20.4
NovakDjokovic,26.2,21.8,1.4,16.2,13.2,22.4,20.2,1.3,14.5,12.9,7.9,6.6,1.2,17.1,17.2
StefanosTsitsipas,26.7,23.0,1.3,20.0,16.3,23.2,20.2,1.2,18.9,15.6,11.9,4.4,1.0,15.6,17.6
