Player           , RiP%, RiP W%_x, RetWnr%, FH/BH, RDI, Slice%, 1st: RiP%, RiP W%.1_x, RetWnr%.1, RDI.1, Slice%.1, 2nd: RiP%, RiP W%.2_x, RetWnr%.2, RDI.2, Slice%.2, RallyLen, RLen-Serve, RLen-Return, 1-3 W%, 4-6 W%, 7-9 W%, 10+ W%, FH/GS, BH Slice%, FHP , FHP/100, BHP , BHP/100, Unret%, <=3 W%, RiP W%_y, SvImpact, 1st: Unret%, <=3 W%.1, RiP W%.1_y, SvImpact.1, D Wide%, A Wide%, 2nd: Unret%, <=3 W%.2, RiP W%.2_y, 2ndAgg, SnV Freq, Net Freq, Net W%, FH: Wnr%, DTL Wnr%, IO Wnr%, BH: Wnr%, DTL Wnr%.1, Drop: Freq, RallyAgg, ReturnAgg, BP Games, BP Conv/BPG, BreakBack%, BPF Games, Hold/BPFG, Consol%, SvForSet, SvStaySet, SvForMatch, SvStayMatch, GP Conv, BP Conv, SP Conv, MP Conv, BP Saved, SP Saved, MP Saved, TB SPW, TB RPW, BLR, DR+, EI  , CBF, Deuce A%, Deuce SPW%, Ad A%, Ad SPW%, Deuce RPW%, Ad RPW%, Winners, UFEs, Ratio, Wnr/Pt, UFE/Pt, RallyWinners, RallyUFEs, RallyRatio, Rally Wnr/Pt, Rally UFE/Pt, FH Wnr/Pt, BH Wnr/Pt, vs Ratio, vs Wnr/Pt, vs UFE/Pt
AlexanderZverev  , 69.2,     48.8,     2.2,      , 2.2,   21.6,      63.3,       46.0,       2.3,   2.1,     28.8,      86.3,       54.2,       2.4,   2.2,      6.2,      4.2,        4.1,         4.3,   53.2,   55.0,   54.9,   55.4,  51.9,      10.2,  4.4,     5.2, 5.6 , 5.1    ,   34.2,   45.8,     60.4,     41.9,        40.1,     53.4,       62.6,       50.9,    53.4,    44.3,        22.8,     30.9,       56.3, 14.5  ,      1.4,     12.2,   69.4,     13.1,     18.5,    19.9,      9.4,       26.6,        0.6, -35.0   , -26.8    ,     33.4,        72.3,       18.3,      18.5,      51.1,    93.2,     86.0,      92.9,       83.3,        71.4,    72.9,    48.7,    66.4,    78.8,     67.8,     31.5,     20.4,   65.2,   40.5, 1.1, 1.8, 49.3, 3.9,     13.3,       73.0,  11.3,    70.6,       37.1,    38.1,    35.9, 28.5,   1.5,   22.0,   15.9,         26.0,      25.9,        1.2,         18.5,         16.6,       8.7,       5.0,      1.0,      17.9,      18.5
AndreyRublev     , 61.2,     52.7,     4.0,      , 2.3,   21.8,      52.9,       49.2,       2.4,   2.3,     35.1,      82.7,       56.9,       7.3,   2.4,      2.6,      3.7,        3.8,         3.6,   50.2,   54.7,   56.6,   53.6,  54.5,       9.1, 15.0,    13.5, 2.4 , 3.1    ,   31.6,   45.1,     56.6,     39.1,        38.6,     54.1,       60.5,       50.3,    50.8,    50.6,        20.7,     31.2,       51.9, -2.5  ,      0.7,      6.4,   66.6,     21.5,     24.3,    17.8,      8.4,       25.3,        0.2, 15.4    , -8.9     ,     31.8,        61.4,       16.5,      20.9,      43.0,    86.6,     88.0,      95.5,       90.5,        95.5,    69.7,    40.1,    53.6,    63.4,     64.6,     32.8,     22.9,   62.4,   39.7, 1.0, 1.4, 47.4, 3.1,     10.1,       69.4,  11.4,    68.6,       35.4,    37.6,    36.0, 25.9,   1.7,   22.6,   15.0,         27.4,      23.4,        1.4,         20.4,         15.8,      11.2,       3.2,      1.5,      23.3,      16.6
CarlosAlcaraz    , 71.0,     54.0,     3.5,      , 2.3,   14.9,      70.2,       49.0,       3.2,   2.2,     20.9,      80.6,       62.3,       5.0,   2.4,      5.4,      4.0,        3.9,         4.2,   53.2,   58.1,   54.0,   60.5,  53.9,      17.1, 10.7,    10.4, 2.5 , 3.6    ,   29.7,   43.1,     59.4,     37.8,        36.2,     52.3,       62.4,       48.9,    50.1,    43.6,        20.0,     29.1,       55.0, 9.3   ,      6.2,     13.4,   69.9,     18.9,     25.7,    12.7,      8.3,       22.3,        2.3, 8.5     , -4.7     ,     44.6,        71.2,       13.0,      22.0,      52.7,    92.9,     92.8,      80.3,       97.7,        61.1,    71.7,    44.2,    68.4,    77.6,     67.9,     37.0,     19.7,   58.5,   39.2, 1.1, 1.7, 44.8, 2.9,      7.1,       70.0,   7.8,    69.6,       43.1,    41.8,    34.5, 25.1,   1.5,   24.3,   16.8,         29.6,      22.9,        1.4,         23.1,         17.0,      12.5,       4.5,      1.0,      16.7,      18.6
CasperRuud       , 66.9,     44.4,     4.5,      , 2.3,    7.9,      62.7,       36.8,       3.4,   2.3,     11.1,      80.1,       55.1,       6.8,   2.4,      2.2,      4.0,        3.9,         4.0,   50.1,   47.7,   45.4,   45.4,  54.5,      20.4,  9.7,     7.2, -1.5, -2.3   ,   30.1,   42.4,     51.8,     37.7,        36.6,     52.0,       56.1,       47.9,    49.4,    46.6,        17.6,     23.5,       44.1, -13.2 ,      2.0,      8.7,   69.0,     16.0,     20.4,    13.4,      6.5,       21.7,        1.0, -51.7   , -34.1    ,     28.7,        67.5,       14.3,      30.7,      26.9,    81.2,    100.0,      72.7,      100.0,       100.0,    66.2,    43.8,    68.7,    79.6,     49.8,     30.9,     11.1,   68.9,   23.8, 1.0, 1.1, 44.4, 3.8,      9.0,       66.4,   5.7,    61.2,       33.7,    34.6,    32.5, 26.1,   1.3,   17.7,   14.4,         24.8,      23.1,        1.1,         15.8,         14.8,       9.4,       3.1,      1.5,      23.6,      17.1
DaniilMedvedev   , 72.5,     49.7,     2.8,      , 2.2,   19.5,      68.4,       46.7,       1.6,   2.2,     30.3,      87.8,       54.3,       5.7,   2.3,      4.3,      4.9,        4.7,         5.1,   50.3,   53.6,   52.4,   55.7,  44.4,       7.4,  5.8,     4.7, 4.9 , 2.7    ,   28.3,   36.4,     55.8,     33.5,        36.9,     47.4,       59.5,       45.5,    53.8,    46.1,        18.0,     22.9,       51.1, 28.2  ,      1.2,      9.1,   66.5,     10.1,     13.2,     9.8,      5.7,       19.5,        0.8, -94.5   , -79.3    ,     40.8,        65.5,       20.8,      29.1,      31.5,    82.5,     80.7,      68.9,       96.4,        88.5,    65.8,    42.3,    65.7,    73.1,     58.4,     33.4,     30.7,   67.4,   40.8, 1.0, 1.3, 48.0, 3.7,      8.8,       67.2,   7.8,    62.8,       38.4,    40.5,    29.5, 29.1,   1.2,   17.4,   16.2,         22.0,      24.2,        1.1,         15.1,         15.1,       6.4,       3.9,      1.0,      19.6,      22.4
HolgerRune       , 66.1,     46.7,     4.3,      , 2.2,   12.6,      60.9,       39.7,       3.1,   2.2,     18.3,      79.7,       56.6,       7.5,   2.3,      4.6,      4.0,        3.9,         4.0,   45.9,   51.4,   52.3,   49.4,  52.2,      14.8,  6.9,     5.1, 0.6 , 1.2    ,   26.2,   37.7,     51.6,     33.0,        33.1,     47.2,       55.6,       44.5,    55.6,    44.8,        16.9,     25.7,       46.4, 3.0   ,      4.5,     12.1,   64.5,     16.0,     18.8,    12.3,      8.9,       27.0,        1.4, 6.8     , 3.6      ,     28.1,        42.6,       15.8,      35.9,      31.9,    90.7,     94.4,      73.4,       85.7,        66.7,    64.6,    27.6,    58.3,    81.2,     49.4,     35.3,     43.5,   59.3,   35.2, 0.9, 0.9, 49.1, 4.5,      6.9,       66.0,   6.0,    57.8,       30.9,    35.6,    30.4, 29.2,   1.1,   18.1,   18.0,         24.8,      26.2,        1.0,         16.9,         18.1,      10.2,       4.6,      1.4,      18.4,      14.7
HubertHurkacz    , 67.2,     44.5,     3.2,      , 2.2,   17.9,      61.4,       39.1,       3.7,   2.1,     27.9,      82.5,       50.8,       3.4,   2.2,      8.2,      3.7,        3.3,         4.1,   53.4,   49.5,   39.4,   45.1,  53.6,      19.1,  2.7,     1.4, -2.3, -3.4   ,   38.8,   51.3,     51.2,     44.8,        50.7,     63.8,       54.7,       60.4,    52.1,    49.3,        20.9,     32.9,       46.7, 0.2   ,      3.7,     12.2,   69.0,     13.9,     19.2,    15.8,      6.8,       15.5,        1.6, -14.4   , 25.2     ,     24.1,        54.0,       10.3,      24.1,      48.0,    91.0,     87.7,      90.6,      100.0,        85.7,    74.9,    32.7,    68.0,    69.6,     65.7,     32.1,     29.8,   68.8,   29.5, 1.0, 1.2, 56.1, 4.0,     16.0,       68.7,  14.0,    69.0,       31.3,    34.8,    33.3, 29.8,   1.2,   18.2,   17.1,         19.8,      27.7,        0.7,         12.8,         18.5,       8.6,       3.6,      1.1,      16.1,      16.5
JannikSinner     , 71.6,     54.7,     3.0,      , 2.2,   15.3,      65.7,       49.8,       1.5,   2.1,     25.4,      88.7,       61.5,       6.0,   2.3,      5.1,      4.3,        4.2,         4.4,   56.0,   58.6,   53.9,   60.2,  51.1,       6.8, 12.6,    10.5, 6.7 , 5.8    ,   33.2,   44.9,     60.7,     39.6,        43.7,     58.5,       64.0,       54.4,    50.5,    53.7,        18.6,     26.3,       56.8, -2.0  ,      2.2,      9.2,   77.4,     15.8,     22.3,    19.1,      8.6,       28.3,        1.0, -38.4   , -22.5    ,     44.5,        70.7,       25.3,      17.3,      59.5,    95.6,     97.6,      89.4,       98.6,        75.0,    76.1,    44.1,    74.4,    78.7,     75.6,     37.0,     44.4,   74.9,   52.6, 1.1, 1.7, 42.1, 2.9,      9.8,       72.1,  10.8,    72.3,       41.1,    43.7,    29.5, 23.3,   1.5,   19.1,   14.4,         21.8,      21.4,        1.2,         16.1,         14.9,       9.6,       4.3,      0.8,      15.3,      21.3
NovakDjokovic    , 67.8,     52.2,     3.2,      , 2.2,   17.1,      63.2,       48.9,       2.2,   2.2,     26.5,      83.6,       55.5,       5.3,   2.2,      2.4,      4.5,        4.2,         4.6,   53.8,   55.6,   54.0,   56.8,  49.5,      16.0, 12.1,     9.7, 7.6 , 6.8    ,   33.1,   44.5,     58.2,     39.6,        41.3,     54.9,       60.9,       51.4,    50.7,    49.1,        18.6,     27.0,       52.9, 3.3   ,      3.2,     10.6,   69.5,     14.0,     17.3,    18.0,     10.0,       25.0,        1.3, -55.0   , -37.3    ,     39.4,        65.7,       20.8,      17.5,      41.8,    87.8,     95.6,      89.1,      100.0,        83.3,    72.7,    44.4,    77.7,    76.1,     63.0,     35.7,     18.8,   69.5,   37.9, 1.0, 1.5, 42.1, 2.5,     11.9,       72.8,  10.9,    68.5,       39.0,    40.0,    27.7, 22.3,   1.5,   18.3,   13.4,         19.2,      19.7,        1.2,         14.9,         13.7,       7.3,       4.1,      1.2,      19.6,      18.2
StefanosTsitsipas, 62.7,     46.2,     5.0,      , 2.3,   12.9,      58.1,       43.3,       2.8,   2.3,     21.0,      78.2,       50.5,       9.7,   2.3,      1.8,      3.5,        3.4,         3.7,   49.7,   47.3,   51.5,   45.1,  52.8,      28.3, 11.1,    10.6, -2.6, -4.8   ,   31.2,   46.0,     52.6,     39.3,        38.6,     57.3,       56.7,       51.7,    48.9,    46.6,        21.4,     31.0,       46.9, 38.9  ,      3.9,     10.9,   68.4,     20.5,     26.4,    14.3,      7.7,       19.6,        1.4, 7.4     , 14.6     ,     26.1,        62.5,        5.7,      29.5,      35.7,    81.1,     86.7,      91.7,       90.0,        88.9,    70.3,    44.2,    74.5,    70.8,     62.1,     28.4,     22.2,   65.3,   18.7, 1.0, 1.1, 49.9, 2.8,     10.4,       65.3,   7.8,    65.8,       32.6,    32.0,    29.7, 25.2,   1.3,   18.9,   15.9,         22.3,      21.9,        1.2,         16.3,         15.9,       9.7,       3.4,      1.5,      19.6,      14.6
