Player,1st: RiP%,RiP W%.1_x,RetWnr%.2,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,3W,SvImpact,1stUnret,D Wide%,A Wide%,2ndAgg,SnV Freq,Net W%,Drop: Freq,BreakBack%,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch,Wnr/Pt,UFE/Pt
AlexanderZverev,63.3,46.0,2.4,4.1,4.3,53.2,55.0,54.9,55.4,45.8,41.9,40.1,53.4,44.3,14.5,1.4,69.4,0.6,18.3,93.2,86.0,92.9,83.3,71.4,22.0,15.9
AndreyRublev,52.9,49.2,7.3,3.8,3.6,50.2,54.7,56.6,53.6,45.1,39.1,38.6,50.8,50.6,-2.5,0.7,66.6,0.2,16.5,86.6,88.0,95.5,90.5,95.5,22.6,15.0
CarlosAlcaraz,70.2,49.0,5.0,3.9,4.2,53.2,58.1,54.0,60.5,43.1,37.8,36.2,50.1,43.6,9.3,6.2,69.9,2.3,13.0,92.9,92.8,80.3,97.7,61.1,24.3,16.8
CasperRuud,62.7,36.8,6.8,3.9,4.0,50.1,47.7,45.4,45.4,42.4,37.7,36.6,49.4,46.6,-13.2,2.0,69.0,1.0,14.3,81.2,100.0,72.7,100.0,100.0,17.7,14.4
DaniilMedvedev,68.4,46.7,5.7,4.7,5.1,50.3,53.6,52.4,55.7,36.4,33.5,36.9,53.8,46.1,28.2,1.2,66.5,0.8,20.8,82.5,80.7,68.9,96.4,88.5,17.4,16.2
HolgerRune,60.9,39.7,7.5,3.9,4.0,45.9,51.4,52.3,49.4,37.7,33.0,33.1,55.6,44.8,3.0,4.5,64.5,1.4,15.8,90.7,94.4,73.4,85.7,66.7,18.1,18.0
HubertHurkacz,61.4,39.1,3.4,3.3,4.1,53.4,49.5,39.4,45.1,51.3,44.8,50.7,52.1,49.3,0.2,3.7,69.0,1.6,10.3,91.0,87.7,90.6,100.0,85.7,18.2,17.1
JannikSinner,65.7,49.8,6.0,4.2,4.4,56.0,58.6,53.9,60.2,44.9,39.6,43.7,50.5,53.7,-2.0,2.2,77.4,1.0,25.3,95.6,97.6,89.4,98.6,75.0,19.1,14.4
NovakDjokovic,63.2,48.9,5.3,4.2,4.6,53.8,55.6,54.0,56.8,44.5,39.6,41.3,50.7,49.1,3.3,3.2,69.5,1.3,20.8,87.8,95.6,89.1,100.0,83.3,18.3,13.4
StefanosTsitsipas,58.1,43.3,9.7,3.4,3.7,49.7,47.3,51.5,45.1,46.0,39.3,38.6,48.9,46.6,38.9,3.9,68.4,1.4,5.7,81.1,86.7,91.7,90.0,88.9,18.9,15.9
