Match;Result;RiP%;RiP W%;RetWnr%;FH/BH;RDI;Slice%;1st: RiP%;RiP W%;RetWnr%;RDI;Slice%;2nd: RiP%;RiP W%;RetWnr%;RDI;Slice%
2024 Shanghai F;W vs Djokovic;62.1%;47.2%;1.7%;0/1;-;17.8%;47.4%;50.0%;0.0%;-;34.8%;90.0%;44.4%;5.0%;-;0.0%
2024 Shanghai SF;W vs Machac;69.6%;56.3%;5.8%;4/0;2.26;4.3%;62.2%;57.1%;0.0%;2.04;7.4%;87.0%;55.0%;17.4%;2.55;0.0%
2024 Shanghai QF;W vs Medvedev;75.9%;52.3%;0.0%;0/0;-;18.8%;67.7%;28.6%;0.0%;-;35.3%;100.0%;73.9%;0.0%;-;0.0%
2024 Shanghai R16;W vs Shelton;55.2%;43.8%;5.2%;01-feb;-;18.4%;51.2%;27.3%;2.3%;-;29.2%;71.4%;80.0%;14.3%;-;0.0%
2024 Beijing F;L vs Alcaraz;77.2%;42.1%;5.7%;02-may;-;18.2%;69.3%;40.4%;1.3%;-;28.3%;93.5%;44.2%;13.0%;-;6.5%
2024 Beijing SF;W vs Yunchaokete;74.7%;47.5%;1.3%;1/0;2.29;7.5%;68.3%;46.4%;2.4%;2.25;13.3%;88.6%;48.4%;0.0%;2.35;0.0%
2024 Beijing R32;W vs Jarry;60.3%;66.0%;6.4%;01-abr;2.34;2.6%;48.1%;48.0%;1.9%;2.13;3.8%;91.7%;86.4%;16.7%;2.79;0.0%
2024 US Open F;W vs Fritz;65.6%;57.6%;6.7%;03-mar;2.11;5.7%;57.4%;54.8%;0.0%;1.67;12.0%;87.5%;60.7%;18.8%;2.52;0.0%
2024 US Open SF;W vs Draper;66.4%;52.9%;3.8%;04-ene;2.39;6.6%;60.9%;53.8%;1.6%;2.50;11.8%;84.2%;52.1%;7.0%;2.26;0.0%
2024 US Open QF;W vs Medvedev;75.2%;51.2%;2.8%;01-feb;2.25;12.1%;73.8%;44.4%;1.6%;2.26;12.9%;88.1%;59.5%;4.8%;2.24;11.4%
2024 US Open R16;W vs Paul;78.4%;52.9%;1.8%;0/2;2.11;37.3%;76.5%;46.2%;0.0%;1.96;67.9%;87.5%;62.9%;5.0%;2.22;15.4%
2024 US Open R32;W vs Oconnell;78.8%;55.6%;1.3%;0/1;2.11;69.0%;73.3%;57.6%;2.2%;2.00;69.6%;96.8%;53.3%;0.0%;2.24;68.4%
2024 US Open R64;W vs Michelsen;78.1%;61.4%;1.4%;0/1;1.92;23.7%;74.4%;46.9%;0.0%;1.71;47.4%;100.0%;80.0%;4.0%;2.13;0.0%
2024 US Open R128;W vs Mcdonald;78.6%;55.8%;7.1%;05-feb;2.25;19.0%;79.7%;55.3%;5.1%;2.10;42.3%;90.9%;56.7%;12.1%;2.38;0.0%
2024 Cincinnati F;W vs Tiafoe;70.2%;54.2%;0.0%;0/0;-;11.1%;58.7%;51.9%;0.0%;-;27.3%;88.9%;56.3%;0.0%;-;0.0%
2024 Cincinnati SF;W vs Zverev;64.6%;47.6%;0.0%;0/0;-;16.9%;61.0%;46.0%;0.0%;-;31.7%;80.0%;50.0%;0.0%;-;0.0%
2024 Cincinnati QF;W vs Rublev;68.0%;57.8%;5.7%;04-mar;2.33;9.8%;65.3%;55.3%;2.8%;2.05;26.3%;85.7%;61.1%;11.9%;2.50;0.0%
2024 Cincinnati R32;W vs Michelsen;64.5%;57.1%;5.3%;03-ene;2.35;11.3%;60.0%;48.1%;4.4%;2.15;19.2%;75.9%;68.2%;6.9%;2.54;3.7%
2024 Canada QF;L vs Rublev;69.6%;50.9%;1.3%;0/1;-;2.5%;59.6%;42.9%;0.0%;-;5.0%;87.1%;59.3%;3.2%;-;0.0%
2024 Canada R16;W vs Tabilo;79.1%;49.1%;3.0%;0/2;2.17;10.3%;81.6%;38.7%;0.0%;2.00;21.4%;84.6%;63.6%;7.7%;2.33;0.0%
Last 52 Weeks (58 matches);;71.0%;52.7%;2.9%;54.4%;2.19;16.4%;66.4%;48.3%;1.6%;2.11;26.6%;88.0%;59.0%;5.6%;2.28;4.5%
Career (201 matches);;70.5%;51.5%;2.8%;58.6%;2.20;14.4%;66.6%;47.7%;1.9%;2.17;23.5%;85.9%;57.0%;4.8%;2.24;3.4%
