Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
51,Tomas Martin Etcheverry[ARG],30,14-16,46.7%,64.7%,62.5%,243,9.7%,57,2.3%,6.2%,63.3%,73.9%,48.9%,52.1%,81.7%,6.5,2.3
52,Quentin Halys[FRA],21,9-12,42.9%,66.3%,63.4%,280,15.5%,80,4.4%,10.9%,59.5%,78.1%,48.8%,54.8%,85.1%,6.4,2.2
53,Nicolas Jarry[CHI],16,5-11,31.3%,66.5%,64.0%,169,13.4%,45,3.6%,9.7%,63.3%,76.8%,48.8%,54.1%,82.4%,6.2,2.1
54,Gabriel Diallo[CAN],23,11-12,47.8%,63.1%,61.3%,190,9.9%,62,3.2%,9.9%,67.3%,71.0%,46.9%,52.0%,79.9%,6.6,2.4
55,Zhizhen Zhang[CHN],26,9-17,34.6%,66.2%,63.8%,187,10.8%,42,2.4%,6.8%,64.4%,73.3%,53.3%,57.2%,82.8%,6.2,2.1
56,Roberto Bautista Agut[ESP],25,11-14,44.0%,62.0%,62.8%,73,3.6%,69,3.4%,10.0%,66.2%,68.3%,49.6%,55.2%,77.4%,6.7,2.5
57,Jacob Fearnley[GBR],10,5-5,50.0%,61.5%,62.4%,57,8.1%,44,6.3%,16.1%,61.0%,68.2%,51.1%,60.9%,75.7%,6.6,2.5
58,Benjamin Bonzi[FRA],16,9-7,56.3%,65.4%,64.1%,91,7.0%,24,1.8%,5.2%,64.2%,71.1%,55.2%,58.1%,81.2%,6.4,2.2
59,Roberto Carballes Baena[ESP],27,12-15,44.4%,62.7%,62.6%,130,5.9%,74,3.4%,9.2%,63.1%,70.5%,49.3%,54.3%,76.6%,6.4,2.4
60,Camilo Ugo Carabelli[ARG],6,2-4,33.3%,57.3%,58.0%,28,4.7%,27,4.5%,10.9%,58.8%,68.1%,41.9%,47.1%,65.6%,6.7,2.9
61,Fabian Marozsan[HUN],29,14-15,48.3%,63.5%,62.8%,176,7.2%,75,3.1%,8.7%,64.6%,70.7%,50.4%,55.2%,79.7%,6.6,2.4
62,Kei Nishikori[JPN],25,14-11,56.0%,62.8%,62.7%,67,3.9%,36,2.1%,6.3%,66.5%,68.3%,51.8%,55.3%,77.6%,6.2,2.3
63,Francisco Comesana[ARG],7,2-5,28.6%,63.4%,62.2%,65,9.7%,27,4.0%,10.4%,61.3%,74.0%,46.5%,51.9%,77.4%,6.3,2.3
64,Laslo Djere[SRB],9,5-4,55.6%,63.2%,60.2%,88,13.0%,25,3.7%,10.0%,62.9%,72.5%,47.4%,52.7%,82.7%,6.5,2.4
65,Joao Fonseca[BRA],16,11-5,68.8%,68.9%,67.2%,101,8.6%,20,1.7%,5.1%,66.5%,75.4%,55.9%,58.9%,86.0%,6.1,1.9
66,Jaume Munar[ESP],19,9-10,47.4%,64.0%,64.5%,85,5.1%,58,3.5%,10.1%,65.2%,70.7%,51.5%,57.3%,80.5%,6.3,2.3
67,Juncheng Shang[CHN],30,17-13,56.7%,64.5%,64.4%,133,6.3%,70,3.3%,8.6%,61.4%,72.5%,51.8%,56.7%,81.2%,6.4,2.3
68,Mattia Bellucci[ITA],20,10-10,50.0%,64.9%,62.6%,170,11.3%,48,3.2%,8.6%,63.1%,72.9%,51.0%,55.8%,82.7%,6.7,2.3
69,Damir Dzumhur[BIH],10,4-6,40.0%,56.7%,57.8%,8,1.5%,16,2.9%,8.0%,63.4%,60.5%,50.3%,54.6%,64.3%,6.5,2.8
70,Learner Tien[USA],22,12-10,54.5%,60.3%,61.0%,87,4.3%,77,3.8%,10.9%,64.8%,66.3%,49.4%,55.5%,73.4%,6.6,2.6
71,Daniel Altmaier[GER],21,9-12,42.9%,63.6%,60.5%,185,11.2%,36,2.2%,5.7%,61.7%,74.1%,46.6%,49.4%,78.9%,6.3,2.3
72,Hamad Medjedovic[SRB],15,10-5,66.7%,68.1%,67.0%,110,10.5%,37,3.5%,11.1%,68.1%,75.5%,52.3%,58.8%,86.0%,6.1,1.9
73,Bu Yunchaokete[CHN],29,14-15,48.3%,65.4%,63.0%,198,9.6%,38,1.8%,4.4%,58.5%,74.1%,53.1%,55.5%,81.9%,6.3,2.2
74,Yoshihito Nishioka[JPN],28,17-11,60.7%,64.6%,64.2%,77,4.2%,33,1.8%,4.9%,63.4%,69.3%,56.4%,59.4%,81.1%,6.4,2.3
75,Arthur Rinderknech[FRA],33,14-19,42.4%,65.0%,61.8%,342,13.4%,82,3.2%,8.8%,63.3%,74.4%,48.6%,53.3%,81.4%,6.5,2.3
76,Alexander Bublik[KAZ],22,5-17,22.7%,62.7%,62.8%,244,14.7%,146,8.8%,21.2%,58.5%,77.1%,42.4%,53.9%,78.3%,6.7,2.5
77,Roman Safiullin[RUS],26,11-15,42.3%,64.1%,63.1%,191,9.2%,80,3.9%,10.4%,62.9%,72.9%,49.2%,54.8%,78.6%,6.3,2.2
78,Hugo Gaston[FRA],16,7-9,43.8%,60.3%,59.7%,60,5.0%,28,2.3%,5.4%,56.9%,69.5%,48.2%,50.9%,74.5%,6.5,2.6
79,Aleksandar Vukic[AUS],27,12-15,44.4%,64.7%,61.3%,304,13.6%,69,3.1%,7.7%,59.9%,75.0%,49.2%,53.3%,81.4%,6.4,2.3
80,Aleksandar Kovacevic[USA],19,7-12,36.8%,65.8%,63.7%,193,12.6%,59,3.9%,9.2%,58.2%,77.2%,49.9%,55.0%,84.7%,6.5,2.2
81,Christopher Oconnell[AUS],29,12-17,41.4%,64.2%,62.3%,204,9.2%,57,2.6%,6.4%,59.7%,72.1%,52.5%,56.0%,81.1%,6.5,2.3
82,Rinky Hijikata[AUS],23,10-13,43.5%,58.1%,58.1%,84,5.0%,61,3.7%,9.2%,60.4%,65.6%,46.6%,51.3%,67.9%,6.6,2.8
83,Corentin Moutet[FRA],18,7-11,38.9%,59.1%,59.3%,51,3.3%,40,2.6%,7.3%,64.9%,64.6%,48.9%,52.7%,70.9%,6.8,2.8
84,Borna Coric[CRO],15,5-10,33.3%,63.1%,61.8%,114,10.1%,47,4.2%,10.0%,58.3%,72.6%,49.8%,55.3%,76.3%,6.4,2.4
85,Botic Van De Zandschulp[NED],25,10-15,40.0%,61.7%,63.3%,96,4.9%,106,5.4%,14.7%,63.4%,70.4%,46.7%,54.8%,77.5%,6.7,2.6
86,Raphael Collignon[BEL],4,0-4,0.0%,62.1%,67.2%,16,5.7%,29,10.4%,31.9%,67.5%,70.9%,44.0%,64.5%,74.4%,6.5,2.5
87,Jan Lennard Struff[GER],20,6-14,30.0%,62.3%,61.0%,196,11.1%,87,4.9%,12.2%,59.4%,73.7%,45.7%,52.0%,77.4%,6.7,2.5
88,Adam Walton[AUS],16,4-12,25.0%,65.0%,63.0%,113,9.4%,28,2.3%,6.8%,65.5%,72.9%,50.0%,53.6%,82.1%,6.2,2.2
89,Kamil Majchrzak[POL],3,1-2,33.3%,62.5%,62.2%,4,4.5%,2,2.3%,7.7%,70.5%,69.4%,46.2%,50.0%,71.4%,6.3,2.4
90,James Duckworth[AUS],13,2-11,15.4%,62.6%,62.4%,71,6.9%,39,3.8%,9.2%,58.6%,71.3%,50.5%,55.6%,77.0%,6.2,2.3
91,Cameron Norrie[GBR],22,11-11,50.0%,63.0%,61.6%,124,7.2%,39,2.3%,6.8%,66.8%,69.3%,50.3%,54.0%,79.5%,6.5,2.4
93,Jesper De Jong[NED],5,3-2,60.0%,68.6%,65.9%,45,12.9%,9,2.6%,6.5%,60.6%,78.3%,53.6%,57.4%,92.2%,6.9,2.2
94,Reilly Opelka[USA],27,14-13,51.9%,70.2%,65.4%,494,21.8%,96,4.2%,12.1%,65.0%,79.6%,52.6%,59.9%,90.5%,6.3,1.9
95,Luca Nardi[ITA],14,4-10,28.6%,56.6%,58.5%,39,3.5%,64,5.7%,13.3%,56.9%,66.9%,43.1%,49.6%,66.0%,7.1,3.1
96,Mackenzie Mcdonald[USA],12,5-7,41.7%,58.2%,57.7%,48,5.2%,27,2.9%,8.4%,65.3%,61.6%,51.7%,56.4%,69.0%,6.5,2.7
97,Alexander Shevchenko[KAZ],21,8-13,38.1%,60.8%,60.8%,88,6.7%,55,4.2%,10.6%,60.6%,68.5%,49.0%,54.9%,71.1%,6.2,2.4
98,Pablo Carreno Busta[ESP],20,10-10,50.0%,63.6%,63.8%,75,5.2%,47,3.2%,9.1%,64.3%,70.1%,52.0%,57.2%,77.9%,6.3,2.3
99,Mariano Navone[ARG],22,6-16,27.3%,60.5%,60.6%,83,5.0%,56,3.4%,8.3%,59.1%,67.8%,50.0%,54.5%,72.7%,6.6,2.6
100,Nishesh Basavareddy[USA],11,4-7,36.4%,63.1%,62.8%,54,6.3%,28,3.3%,8.6%,62.0%,71.7%,49.1%,53.7%,79.3%,6.4,2.3
,Average,,,43.8%,63.5%,62.4%,,8.7%,,3.4%,9.2%,62.6%,71.7%,49.7%,54.7%,79.0%,6.5,2.4
