Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,44,29,15,65.9%,65-45,59.1%,562-518,52.0%,7-8,46.7%,42,83.2%,20.7%,7.3%,3.8%,60.7%,73.2%,54.7%,66.0%,36.0%,50.9%,1.06
Clay,19,11,8,57.9%,30-20,60.0%,249-247,50.2%,7-2,77.8%,19,80.2%,18.1%,4.7%,3.2%,60.3%,70.1%,52.5%,63.1%,35.4%,49.5%,0.96
Grass,5,3,2,60.0%,10-8,55.6%,89-81,52.4%,1-2,33.3%,5,90.4%,15.7%,12.5%,3.5%,61.7%,78.8%,58.7%,71.1%,32.0%,51.0%,1.11
Grand Slams,13,9,4,69.2%,30-22,57.7%,255-248,50.7%,5-3,62.5%,13,82.6%,18.6%,7.8%,3.9%,58.5%,73.6%,54.8%,65.8%,35.2%,50.3%,1.03
Masters,31,21,10,67.7%,47-30,61.0%,393-358,52.3%,5-4,55.6%,31,83.3%,20.9%,5.6%,3.9%,60.1%,72.0%,54.7%,65.1%,35.8%,50.6%,1.03
Other Tours,22,12,10,54.5%,25-19,56.8%,230-220,51.1%,5-5,50.0%,22,83.0%,17.9%,8.3%,2.8%,63.9%,73.2%,53.1%,66.0%,35.0%,50.5%,1.03
Best of 5,13,9,4,69.2%,30-22,57.7%,255-248,50.7%,5-3,62.5%,13,82.6%,18.6%,7.8%,3.9%,58.5%,73.6%,54.8%,65.8%,35.2%,50.3%,1.03
Best of 3,55,34,21,61.8%,75-51,59.5%,645-598,51.9%,10-9,52.6%,53,83.2%,19.8%,6.6%,3.5%,61.5%,72.5%,54.2%,65.5%,35.5%,50.5%,1.03
Finals,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,50.0%,0.0%,1.9%,3.8%,65.4%,58.8%,38.9%,51.9%,26.1%,39.8%,0.54
Semi-finals,6,1,5,16.7%,3-10,23.1%,59-78,43.1%,0-5,0.0%,6,80.0%,10.4%,8.1%,4.7%,59.0%,72.3%,53.8%,64.7%,29.5%,47.3%,0.84
Quarter-finals,8,6,2,75.0%,13-6,68.4%,105-84,55.6%,2-0,100.0%,8,86.5%,21.9%,6.0%,2.6%,62.8%,76.0%,53.9%,67.8%,36.4%,52.0%,1.13
vs Righties,60,36,24,60.0%,91-69,56.9%,799-768,51.0%,13-12,52.0%,58,82.8%,18.7%,6.9%,3.6%,60.4%,72.3%,54.7%,65.3%,35.0%,50.1%,1.01
vs Lefties,8,7,1,87.5%,14-4,77.8%,101-78,56.4%,2-0,100.0%,8,85.4%,26.1%,7.9%,3.6%,62.7%,76.7%,51.7%,67.4%,39.1%,53.4%,1.20
vs Top 10,11,4,7,36.4%,12-19,38.7%,139-173,44.6%,3-3,50.0%,11,77.5%,12.3%,4.9%,3.5%,61.6%,70.0%,49.6%,62.2%,31.2%,47.2%,0.82
